name,height,weight,collage,born,birth_city,birth_state
Craig Brackins,208,104,Iowa State University,1987,Los Angeles,California
Avery Bradley,188,81,University of Texas at Austin,1990,Tacoma,Washington
Derrick Caracter,206,124,University of Texas at El Paso,1988,Fanwood,New Jersey
Sherron Collins,180,92,University of Kansas,1987,Chicago,Illinois
Marcus Cousin,211,111,University of Houston,1986,Baltimore,Maryland
DeMarcus Cousins,211,122,University of Kentucky,1990,Mobile,Alabama
Jordan Crawford,196,95,University of Kentucky,1986,Detroit,Michigan
Ed Davis,208,108,University of North Carolina,1989,Washington,District of Columbia
Zabian Dowdell,190,86,Virginia Polytechnic Institute and State University,1984,Pahokee,Florida
Devin Ebanks,206,97,West Virginia University,1989,Queens,New York
Semih Erden,213,108,,1986,Istanbul,Turkey
Jeremy Evans,206,90,Western Kentucky University,1987,Crossett,Arkansas
Christian Eyenga,196,95,,1989,Kinshasa,Democratic Republic of the Congo
Derrick Favors,208,120,Georgia Institute of Technology,1991,Atlanta,Georgia
Landry Fields,201,95,Stanford University,1988,Long Beach,California
Gary Forbes,201,99,University of Massachusetts Amherst,1985,Colon,Panama
Paul George,206,99,"California State University, Fresno",1990,Palmdale,California
Blake Griffin,208,113,University of Oklahoma,1989,Oklahoma City,Oklahoma
Luke Harangody,203,111,University of Notre Dame,1988,Decatur,Illinois
Manny Harris,196,83,University of Michigan,1989,Detroit,Michigan
Gordon Hayward,203,102,Butler University,1990,Indianapolis,Indiana
Lazar Hayward,198,102,Marquette University,1986,Buffalo,New York
Xavier Henry,198,99,University of Kansas,1991,Gent,Belgium
Damion James,201,102,University of Texas at Austin,1987,Hobbs,New Mexico
Eugene Jeter,180,79,University of Portland,1983,Los Angeles,California
Wesley Johnson,201,97,Syracuse University,1987,Corsicana,Texas
Gani Lawal,206,106,Georgia Institute of Technology,1988,College Park,Georgia
Jeremy Lin,190,90,Harvard University,1988,Palo Alto,California
Greg Monroe,211,120,Georgetown University,1990,New Orleans,Louisiana
Timofey Mozgov,216,124,,1986,St. Petersburg,Russia
Hamady N'Diaye,213,106,Rutgers University,1987,Dakar,Senegal
Gary Neal,193,95,Towson University,1984,Baltimore,Maryland
Larry Owens,201,95,Oral Roberts University,1983,Mesa,Arizona
Patrick Patterson,206,104,University of Kentucky,1989,Washington,District of Columbia
Nikola Pekovic,211,139,,1986,Bijelo Polje,Montenegro
Dexter Pittman,211,139,University of Texas at Austin,1988,Rosenberg,Texas
Quincy Pondexter,201,99,University of Washington,1988,Fresno,California
Andy Rautins,193,86,Syracuse University,1986,Syracuse,New York
Samardo Samuels,206,117,University of Louisville,1989,Trelawny,Jamaica
Larry Sanders,211,106,Virginia Commonwealth University,1988,Fort Pierce,Florida
Kevin Seraphin,206,129,,1989,Cayenne,French Guiana
Mustafa Shakur,190,86,University of Arizona,1984,Philadelphia,Pennsylvania
Garret Siler,211,138,Augusta State University,1986,Augusta,Georgia
Ish Smith,183,79,Wake Forest University,1988,Charlotte,North Carolina
Tiago Splitter,211,111,,1985,Joinville,Brazil
Lance Stephenson,196,104,University of Cincinnati,1990,Brooklyn,New York
Pape Sy,201,102,,1988,Loudeac,France
Evan Turner,201,99,Ohio State University,1988,Chicago,Illinois
Ekpe Udoh,208,108,Baylor University,1987,Edmond,Oklahoma
Ben Uzoh,190,92,University of Tulsa,1988,Houston,Texas
Greivis Vasquez,198,98,University of Maryland,1987,Caracas,Venezuela
John Wall,193,88,University of Kentucky,1990,Raleigh,North Carolina
Willie Warren,193,92,University of Oklahoma,1989,Dallas,Texas
Hassan Whiteside,213,120,Marshall University,1989,Gastonia,North Carolina
Lavoy Allen,206,117,Temple University,1989,Morrisville,Pennsylvania
Gustavo Ayon,208,113,,1985,Tepic,Mexico
Bismack Biyombo,206,115,,1992,Lubumbashi,Democratic Republic of the Congo
MarShon Brooks,196,90,Providence College,1989,Long Branch,New Jersey
Alec Burks,198,97,University of Colorado,1991,Grandview,Missouri
Jimmy Butler,201,99,Marquette University,1989,Houston,Texas
Derrick Byars,201,99,Vanderbilt University,1984,Memphis,Tennessee
Norris Cole,188,79,Cleveland State University,1988,Dayton,Ohio
Eric Dawson,206,113,Midwestern State University,1984,San Antonio,Texas
Justin Dentmon,180,83,University of Washington,1985,Carbondale,Illinois
Jerome Dyson,190,81,University of Connecticut,1987,Rockville,Maryland
Kenneth Faried,203,103,Morehead State University,1989,Newark,New Jersey
Jeff Foote,213,120,Cornell University,1987,Lockwood,New York
Courtney Fortson,180,83,University of Arkansas,1988,San Antonio,Texas
Jimmer Fredette,188,88,Brigham Young University,1989,Glens Falls,New York
Mickell Gladness,211,99,Alabama A&M University,1986,Birmingham,Alabama
Andrew Goudelock,190,90,College of Charleston,1988,Gainesville,Georgia
Justin Harper,208,102,University of Richmond,1989,Richmond,Virginia
Josh Harrellson,208,124,University of Kentucky,1989,St. Charles,Missouri
Terrel Harris,196,86,Oklahoma State University,1987,Dallas,Texas
Cory Higgins,196,81,University of Colorado,1989,Danville,California
Darington Hobson,201,95,University of New Mexico,1987,Las Vegas,Nevada
Tyler Honeycutt,203,85,"University of California, Los Angeles",1990,Los Angeles,California
Dennis Horner,206,104,North Carolina State University,1988,Linwood,New Jersey
Kyrie Irving,190,87,Duke University,1992,Melbourne,Australia
Reggie Jackson,190,94,Boston College,1990,Pordenone,Italy
Charles Jenkins,190,99,Hofstra University,1989,Brooklyn,New York
Carldell Johnson,178,81,University of Alabama at Birmingham,1983,New Orleans,Louisiana
Ivan Johnson,203,104,University of Oregon,1984,San Antonio,Texas
JaJuan Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming
Jerome Jordan,213,114,University of Tulsa,1986,Kingston,Jamaica
Cory Joseph,190,87,University of Texas at Austin,1991,Toronto,Canada
Enes Kanter,211,111,,1992,Zurich,Switzerland
D.J. Kennedy,211,111,,1992,,
Malcolm Lee,196,90,"University of California, Los Angeles",1990,Riverside,California
Kawhi Leonard,201,104,San Diego State University,1991,Los Angeles,California
Travis Leslie,193,92,University of Georgia,1990,Atlanta,Georgia
Jon Leuer,208,103,University of Wisconsin,1989,Long Lake,Minnesota
DeAndre Liggins,198,94,University of Kentucky,1988,Chicago,Illinois
Shelvin Mack,190,92,Butler University,1990,Lexington,Kentucky
Vernon Macklin,208,102,University of Florida,1986,Portsmouth,Virginia
E'Twaun Moore,208,102,,1986,,
Darius Morris,193,86,University of Michigan,1991,Los Angeles,California
Daniel Orton,208,115,University of Kentucky,1990,Oklahoma City,Oklahoma
Jeremy Pargo,188,99,Gonzaga University,1986,Chicago,Illinois
Chandler Parsons,208,104,University of Florida,1988,Casselberry,Florida
Ryan Reid,203,105,Florida State University,1986,Lauderdale Lakes,Florida
Ricky Rubio,193,87,,1990,Barcelona,Spain
Josh Selby,188,83,University of Kansas,1991,Baltimore,Maryland
Iman Shumpert,196,99,Georgia Institute of Technology,1990,Oak Park,Illinois
Xavier Silas,196,92,Northern Illinois University,1988,San Antonio,Texas
Chris Singleton,203,104,Florida State University,1989,Canton,Georgia
Donald Sloan,190,92,Texas A&M University,1988,Shreveport,Louisiana
Jerry Smith,188,86,University of Louisville,1987,Wauwatosa,Wisconsin
Nolan Smith,188,83,Duke University,1988,Louisville,Kentucky
Greg Stiemsma,211,117,University of Wisconsin,1985,Randolph,Wisconsin
Julyan Stone,198,90,University of Texas at El Paso,1988,Alexandria,Virginia
Lance Thomas,203,106,Duke University,1988,Brooklyn,New York
Malcolm Thomas,206,102,San Diego State University,1988,Columbia,Missouri
Trey Thompkins,206,107,University of Texas at Austin,1991,Toronto,Canada
Klay Thompson,201,97,Washington State University,1990,Los Angeles,California
Tristan Thompson,206,107,University of Texas at Austin,1991,Toronto,Canada
Jeremy Tyler,208,117,,1991,San Diego,California
Edwin Ubiles,198,92,Siena College,1986,Brooklyn,New York
Jan Vesely,211,108,,1990,Ostrava,Czech Republic
Nikola Vucevic,213,117,University of Southern California,1990,Morges,Switzerland
Derrick Williams,190,90,University of Illinois at Urbana-Champaign,1984,Parkersburg,West Virginia
Elliot Williams,196,86,University of Memphis,1989,Memphis,Tennessee
Chris Wright,203,102,University of Dayton,1988,Trotwood,Ohio
Quincy Acy,201,108,Baylor University,1990,Tyler,Texas
Josh Akognon,180,83,"California State University, Fullerton",1986,Greenbrae,California
Will Barton,198,79,University of Memphis,1991,Baltimore,Maryland
Aron Baynes,208,117,Washington State University,1986,Gisborne,New Zealand
Kent Bazemore,196,91,Old Dominion University,1989,Kelford,North Carolina
Bradley Beal,196,93,University of Florida,1993,St. Louis,Missouri
Patrick Beverley,185,83,University of Arkansas,1988,Chicago,Illinois
Victor Claver,206,101,,1988,Valencia,Spain
Chris Copeland,206,108,University of Colorado,1984,Orange,New Jersey
Jae Crowder,198,106,Marquette University,1990,Villa Rica,Georgia
Jared Cunningham,193,88,Oregon State University,1991,Oakland,California
Andre Drummond,211,126,University of Connecticut,1993,Mount Vernon,New York
Kim English,198,90,University of Missouri,1988,Baltimore,Maryland
Festus Ezeli,211,115,Vanderbilt University,1989,Benin City,Nigeria
Evan Fournier,201,92,,1992,Saint-Maurice,France
Joel Freeland,208,113,,1987,Farnham,United Kingdom
Draymond Green,201,104,Michigan State University,1990,Saginaw,Michigan
Ben Hansbrough,190,92,University of Notre Dame,1987,Poplar Bluff,Missouri
Maurice Harkless,206,97,St. John's University,1993,Queens,New York
John Henson,211,103,University of North Carolina,1990,Greensboro,North Carolina
Justin Holiday,198,83,University of Washington,1989,Mission Hills,California
Bernard James,208,108,Florida State University,1985,Savannah,Georgia
John Jenkins,193,97,Vanderbilt University,1991,Nashville,Tennessee
Orlando Johnson,196,99,"University of California, Santa Barbara",1989,Monterey,California
DeQuan Jones,203,100,University of Miami,1990,Stone Mountain,Georgia
Kevin Jones,203,113,West Virginia University,1989,Mount Vernon,New York
Perry Jones,211,106,Baylor University,1991,Winnsboro,Louisiana
Terrence Jones,206,114,University of Kentucky,1992,Portland,Oregon
Kris Joseph,201,95,Syracuse University,1988,Montreal,Canada
Michael Kidd-Gilchrist,201,105,University of Kentucky,1993,Philadelphia,Pennsylvania
Viacheslav Kravtsov,213,117,,1987,Odessa,Ukraine
Doron Lamb,193,95,University of Kentucky,1991,Queens,New York
Jeremy Lamb,196,83,University of Connecticut,1992,Henrico Valley,Virginia
Meyers Leonard,216,111,University of Illinois at Urbana-Champaign,1992,Woodbridge,Virginia
Damian Lillard,190,88,Weber State University,1990,Oakland,California
Scott Machado,185,92,Iona College,1990,Queens,New York
Kendall Marshall,193,90,University of North Carolina,1991,Dumfries,Virginia
Fab Melo,213,115,Syracuse University,1990,Juiz de Forz,Brazil
Khris Middleton,203,106,Texas A&M University,1991,Charleston,South Carolina
Darius Miller,203,106,University of Kentucky,1990,Maysville,Kentucky
Quincy Miller,206,95,Baylor University,1992,Chicago,Illinois
Donatas Motiejunas,213,100,,1990,Kaunas,Lithuania
Arnett Moultrie,211,112,Mississippi State University,1990,Queens,New York
Kevin Murphy,196,83,Tennessee Technological University,1990,Atlanta,Georgia
Andrew Nicholson,206,113,St. Bonaventure University,1989,Mississauga,Canada
Kyle O'Quinn,208,113,Norfolk State University,1990,Flushing,New York
Tim Ohlbrecht,211,115,,1988,Wuppertal,Germany
Miles Plumlee,211,112,Duke University,1988,Fort Wayne,Indiana
Austin Rivers,193,90,Duke University,1992,Santa Monica,California
Brian Roberts,185,78,University of Dayton,1985,Toledo,Ohio
Thomas Robinson,208,107,University of Kansas,1991,Washington,District of Columbia
Terrence Ross,201,93,University of Washington,1991,Portland,Oregon
Robert Sacre,213,122,Gonzaga University,1989,Baton Rouge,Louisiana
Mike Scott,203,107,University of Virginia,1988,Chesapeake,Virginia
Tornike Shengelia,206,98,,1991,Tbilisi,Georgia
Alexey Shved,198,86,,1988,Belgorod,Russia
Henry Sims,208,112,Georgetown University,1990,Baltimore,Maryland
Kyle Singler,203,103,Duke University,1988,Medford,Oregon
Jared Sullinger,206,117,Ohio State University,1992,Columbus,Ohio
Tyshawn Taylor,190,83,University of Kansas,1990,Hoboken,New Jersey
Marquis Teague,188,85,University of Kentucky,1993,Indianapolis,Indiana
Mirza Teletovic,206,109,,1985,Mostar,Bosnia and Herzegovina
Jonas Valanciunas,213,120,,1992,Utena,Lithuania
Jarvis Varnado,206,104,Mississippi State University,1988,Fairfax,Virginia
Dion Waiters,193,102,Syracuse University,1991,Philadelphia,Pennsylvania
Maalik Wayns,188,90,Villanova University,1991,Philadelphia,Pennsylvania
Tony Wroten,198,92,University of Washington,1993,Seattle,Washington
Luke Zeller,211,111,University of Notre Dame,1987,Ames,Iowa
Tyler Zeller,213,114,University of North Carolina,1990,Visalia,California
Steven Adams,213,115,University of Pittsburgh,1993,Rotorua,New Zealand
Giannis Antetokounmpo,211,100,,1994,Athens,Greece
Pero Antic,211,117,,1982,Skopje,FYR Macedonia
Chris Babb,196,102,Iowa State University,1990,Arlington,Texas
Anthony Bennett,203,111,"University of Nevada, Las Vegas",1993,Toronto,Canada
Vander Blue,193,90,Marquette University,1992,Milwaukee,Wisconsin
Lorenzo Brown,196,85,North Carolina State University,1990,Roswell,Georgia
Reggie Bullock,201,92,University of North Carolina,1991,Baltimore,Maryland
Trey Burke,185,86,University of Michigan,1992,Columbus,Ohio
Dwight Buycks,190,86,Marquette University,1989,Milwaukee,Wisconsin
Nick Calathes,198,96,University of Florida,1989,Casselberry,Florida
Kentavious Caldwell-Pope,196,92,University of Georgia,1993,Thomaston,Georgia
Isaiah Canaan,183,91,Murray State University,1991,Biloxi,Mississippi
Michael Carter-Williams,198,86,Syracuse University,1991,Hamilton,Massachusetts
Dionte Christmas,196,92,Temple University,1986,Philadelphia,Pennsylvania
Ian Clark,190,79,Belmont University,1991,Memphis,Tennessee
Robert Covington,206,97,Tennessee State University,1990,Bellwood,Illinois
Allen Crabbe,198,95,University of California,1992,Los Angeles,California
Seth Curry,188,83,Duke University,1990,Charlotte,North Carolina
Troy Daniels,193,92,Virginia Commonwealth University,1991,Roanoke,Virginia
Luigi Datome,203,97,,1987,Montebelluna,Italy
Brandon Davies,208,108,Brigham Young University,1991,Philadelphia,Pennsylvania
Dewayne Dedmon,213,111,University of Southern California,1989,Lancaster,California
Matthew Dellavedova,193,89,Saint Mary's College of California,1990,Maryborough,Australia
Gorgui Dieng,211,109,University of Louisville,1990,Kebemer,Senegal
Shane Edwards,201,99,University of Arkansas at Little Rock,1987,Los Angeles,California
Vitor Faverani,211,117,,1988,Porto Alegre,Brazil
Carrick Felix,198,91,Arizona State University,1990,Las Vegas,Arizona
Jamaal Franklin,196,86,San Diego State University,1991,Moreno Valley,California
Rudy Gobert,216,111,,1992,Saint-Quentin,France
Archie Goodwin,196,90,University of Kentucky,1994,Little Rock,Arkansas
Jorge Gutierrez,190,86,University of California,1988,Chihuahua,Mexico
Justin Hamilton,213,117,Louisiana State University,1990,Newport Beach,California
Elias Harris,203,108,Gonzaga University,1989,Speyer,Germany
Solomon Hill,201,102,University of Arizona,1991,Los Angeles,California
Scotty Hopson,201,92,University of Tennessee,1989,Hopkinsville,Kentucky
Robbie Hummel,203,97,Purdue University,1989,Valparaiso,Indiana
Sergey Karasev,201,94,,1993,St. Petersburg,Russia
Ryan Kelly,211,104,Duke University,1991,Carmel,New York
Ognjen Kuzmic,216,113,,1990,Doboj,Bosnia and Herzegovina
Shane Larkin,180,79,University of Miami,1992,Cincinnati,Ohio
Ricky Ledo,201,88,,1992,Providence,Rhode Island
Alex Len,216,117,University of Maryland,1993,Antratsit,Ukraine
Ray McCallum,190,86,University of Detroit Mercy,1991,Madison,Wisconsin
C.J. McCollum,190,86,,1991,,
Ben McLemore,196,88,University of Kansas,1993,St. Louis,Missouri
Gal Mekel,190,86,Wichita State University,1988,Petah Tikva,Israel
Shabazz Muhammad,198,101,"University of California, Los Angeles",1992,Los Angeles,California
Erik Murphy,208,104,University of Florida,1990,Lyon,France
Toure' Murry,196,88,Wichita State University,1989,Houston,Texas
Mike Muscala,211,108,Bucknell University,1991,St. Louis Park,Minnesota
Nemanja Nedovic,190,87,,1991,Nova Varos,Serbia
James Nunnally,201,92,"University of California, Santa Barbara",1990,San Jose,California
Victor Oladipo,193,95,Indiana University,1992,Silver Spring,Maryland
Kelly Olynyk,213,107,Gonzaga University,1991,Toronto,Canada
Arinze Onuaku,206,115,Syracuse University,1987,Lanham,Maryland
Mason Plumlee,211,111,Duke University,1990,Fort Wayne,Indiana
Otto Porter,203,89,Georgetown University,1993,St. Louis,Missouri
Phil Pressey,180,79,University of Missouri,1991,Dallas,Texas
Miroslav Raduljica,213,113,,1988,Belgrade,Serbia
Dennis Schroder,185,78,,1993,Braunschweig,Germany
Peyton Siva,183,83,University of Louisville,1990,Seattle,Washington
Tony Snell,201,90,University of New Mexico,1991,Riverside,California
James Southerland,203,97,Syracuse University,1990,Queens,New York
D.J. Stephens,203,97,,1990,,
Adonis Thomas,201,90,University of Memphis,1993,Memphis,Tennessee
Hollis Thompson,203,93,Georgetown University,1991,Pasadena,California
Casper Ware,178,79,"California State University, Long Beach",1990,Cerritos,California
Jeff Withey,213,104,University of Kansas,1990,San Diego,California
Nate Wolters,193,86,South Dakota State University,1991,St. Cloud,Minnesota
Cody Zeller,213,108,Indiana University,1992,Washington,Indiana
Jordan Adams,196,94,"University of California, Los Angeles",1994,Atlanta,Georgia
Furkan Aldemir,208,108,,1991,Konak,Turkey
Kyle Anderson,206,104,"University of California, Los Angeles",1993,New York,New York
Cameron Bairstow,206,113,University of New Mexico,1990,Brisbane,Australia
Jerrelle Benimon,203,111,Towson University,1991,Warrenton,Virginia
Sim Bhullar,226,163,New Mexico State University,1992,Ontario,Canada
Tarik Black,206,113,University of Kansas,1991,Memphis,Tennessee
Bojan Bogdanovic,198,92,,1992,Belgrade,Serbia
Jabari Brown,193,97,University of Missouri,1992,Oakland,California
Bruno Caboclo,206,98,,1995,Osasco,Brazil
Clint Capela,206,98,,1995,,
Will Cherry,183,83,University of Montana,1991,Oakland,California
Patrick Christopher,196,94,University of California,1988,Compton,California
Jordan Clarkson,196,87,University of Missouri,1992,Tampa,Florida
Jack Cooley,206,117,University of Notre Dame,1991,Evanston,Illinois
Bryce Cotton,185,74,Providence College,1992,Tucson,Arizona
Andre Dawkins,196,97,Duke University,1991,Fairfax,Virginia
Spencer Dinwiddie,198,90,University of Colorado,1993,Los Angeles,California
Zoran Dragic,196,90,,1989,Ljubljana,Slovenia
Cleanthony Early,203,95,Wichita State University,1991,Middletown,New York
James Ennis,201,95,"California State University, Long Beach",1990,Ventura,California
Tyler Ennis,190,87,Syracuse University,1994,Brampton,Canada
Dante Exum,198,86,,1995,Melbourne,Australia
Tim Frazier,185,77,Pennsylvania State University,1990,Houston,Texas
Langston Galloway,188,90,Saint Joseph's University,1991,Baton Rouge,Louisiana
Aaron Gordon,206,99,University of Arizona,1995,San Jose,California
Drew Gordon,206,111,University of New Mexico,1990,San Jose,California
Jerami Grant,203,95,Syracuse University,1994,Portland,Oregon
Erick Green,193,83,Virginia Polytechnic Institute and State University,1991,Inglewood,California
JaMychal Green,206,102,University of Alabama,1990,Montgomery,Alabama
P.J. Hairston,206,102,,1990,,
Gary Harris,193,95,Michigan State University,1994,Fishers,Indiana
Joe Harris,198,99,University of Virginia,1991,Chelan,Washington
Rodney Hood,203,93,Duke University,1992,Meridian,Mississippi
Joe Ingles,203,102,,1987,Happy Valley,Australia
Cory Jefferson,206,98,Baylor University,1990,Tacoma,Washington
Grant Jerrett,208,106,University of Arizona,1993,Costa Mesa,California
Nick Johnson,190,91,University of Arizona,1992,Tempe,Arizona
Tyler Johnson,193,84,"California State University, Fresno",1992,Grand Forks,North Dakota
Sean Kilpatrick,193,95,University of Cincinnati,1990,Yonkers,New York
Alex Kirk,213,111,University of New Mexico,1991,Los Alamos,New Mexico
